IYS_Specimen_ID,GCLcard_position,IAgroup
IYS2022-TINRO-3-1-Trawl-3-2,0000057847_1,Western_AK_BBay
IYS2022-TINRO-3-1-Trawl-3-3,0000057847_2,Western_AK_BBay
IYS2022-TINRO-3-2-Trawl-12-5,0000057847_4,BC_WA
IYS2022-TINRO-3-2-Trawl-12-6,0000057847_5,BC_WA
IYS2022-TINRO-3-2-Trawl-12-7,0000057847_6,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-2-Trawl-12-8,0000057847_7,Western_AK_BBay
IYS2022-TINRO-3-2-Trawl-12-9,0000057847_8,Western_AK_BBay
IYS2022-TINRO-3-2-Trawl-12-12,0000057865_1,Western_AK_BBay
IYS2022-TINRO-3-3-Trawl-18-21,0000057865_2,PWS_CopperR_SEAK
IYS2022-TINRO-3-4-Trawl-28-24,0000057865_4,Western_AK_BBay
IYS2022-TINRO-3-4-Trawl-28-25,0000057865_5,PWS_CopperR_SEAK
IYS2022-TINRO-3-4-Trawl-28-26,0000057865_6,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-40,0000057865_7,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-41,0000057865_8,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-42,0000057865_9,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-43,0000057865_10,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-44,0000057876_1,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-45,0000057876_2,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-46,0000057876_3,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-47,0000057876_4,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-59-48,0000057876_5,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-50,0000057876_7,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-52,0000057876_9,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-53,0000057876_10,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-54,0000057861_1,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-55,0000057861_2,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-57,0000057861_4,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-58,0000057861_5,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-59,0000057861_6,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-60,0000057861_7,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-63,0000057861_10,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-64,0000057869_1,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-65,0000057869_2,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-66,0000057869_3,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-67,0000057869_4,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-59-68,0000057869_5,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-69,0000057869_6,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-70,0000057869_7,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-71,0000057869_8,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-72,0000057869_9,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-74,0000057873_1,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-75,0000057873_2,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-76,0000057873_3,Western_AK_BBay
