IYS_Specimen_ID,IAgroup
IYS2022-TINRO-3-3-Trawl-16-19,NorthernRussia
IYS2022-TINRO-3-3-Trawl-17-20,NorthernRussia
IYS2022-TINRO-3-8-Trawl-46-33,NorthernRussia
IYS2022-TINRO-3-9-Trawl-48-35,NorthernRussia
IYS2022-TINRO-3-10-Trawl-62-88,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-10-Trawl-62-89,SouthernBC/WA
IYS2022-TINRO-3-10-Trawl-62-90,NorthernRussia
IYS2022-TINRO-3-11-Trawl-70-91,NorthernRussia
IYS2022-TINRO-3-12-Trawl-80-104,NorthernRussia
IYS2022-TINRO-3-12-Trawl-80-105,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-106,SEAK/NorthernBC
IYS2022-TINRO-3-12-Trawl-80-107,SEAK/NorthernBC
IYS2022-TINRO-3-12-Trawl-80-108,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-109,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-110,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-111,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-112,SEAK/NorthernBC
IYS2022-TINRO-3-12-Trawl-80-113,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-114,NAKPen/WesternGOA
IYS2022-TINRO-3-13-Trawl-85-115,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-116,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-117,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-118,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-119,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-120,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-121,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-122,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-123,SouthernBC/WA
IYS2022-TINRO-3-13-Trawl-85-124,SEAK/NorthernBC
IYS2022-TINRO-3-13-Trawl-85-125,SouthernBC/WA
IYS2022-TINRO-3-13-Trawl-85-126,NAKPen/WesternGOA
IYS2022-TINRO-3-13-Trawl-85-127,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-128,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-129,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-130,NorthernRussia
IYS2022-TINRO-3-13-Trawl-86-131,WesternAK
IYS2022-TINRO-3-13-Trawl-86-132,WesternAK
IYS2022-TINRO-3-13-Trawl-86-133,WesternAK
IYS2022-TINRO-3-13-Trawl-86-184,WesternAK
IYS2022-TINRO-3-14-Trawl-100-203,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-15-Trawl-108-227,NAKPen/WesternGOA
IYS2022-TINRO-3-15-Trawl-108-228,SEAK/NorthernBC
IYS2022-TINRO-3-15-Trawl-108-229,NorthernRussia
IYS2022-TINRO-3-15-Trawl-108-230,NorthernRussia
IYS2022-TINRO-3-15-Trawl-108-231,SouthernBC/WA
IYS2022-TINRO-3-15-Trawl-108-232,NAKPen/WesternGOA
IYS2022-TINRO-3-15-Trawl-108-234,WesternAK
IYS2022-TINRO-3-15-Trawl-108-235,NorthernRussia
IYS2022-TINRO-3-17-Trawl-122-238,SEAK/NorthernBC
IYS2022-TINRO-3-17-Trawl-122-239,SouthernBC/WA
IYS2022-TINRO-3-20-Trawl-146-261,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-20-Trawl-146-262,WesternAK
IYS2022-TINRO-3-22-Trawl-151-264,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-24-Trawl-164-304,SEAK/NorthernBC
IYS2022-TINRO-3-24-Trawl-164-305,NorthernRussia
IYS2022-TINRO-3-24-Trawl-164-306,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-24-Trawl-164-307,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-24-Trawl-167-310,WesternAK
IYS2022-TINRO-3-24-Trawl-167-311,SEAK/NorthernBC
IYS2022-TINRO-3-25-Trawl-175-312,NorthernRussia
IYS2022-TINRO-3-25-Trawl-175-313,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-327,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-328,SEAK/NorthernBC
IYS2022-TINRO-3-26-Trawl-180-329,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-330,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-181-354,NAKPen/WesternGOA
IYS2022-TINRO-3-26-Trawl-181-355,WesternAK
IYS2022-TINRO-3-26-Trawl-181-356,WesternAK
IYS2022-TINRO-3-26-Trawl-181-357,WesternAK
IYS2022-TINRO-3-26-Trawl-181-358,WesternAK
IYS2022-TINRO-3-26-Trawl-180-332,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-333,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-334,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-335,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-181-359,WesternAK
IYS2022-TINRO-3-26-Trawl-181-360,WesternAK
IYS2022-TINRO-3-26-Trawl-181-361,NorthernRussia
IYS2022-TINRO-3-26-Trawl-181-362,WesternAK
IYS2022-TINRO-3-26-Trawl-181-363,NAKPen/WesternGOA
IYS2022-TINRO-3-26-Trawl-181-364,WesternAK
IYS2022-TINRO-3-26-Trawl-181-365,WesternAK
IYS2022-TINRO-3-26-Trawl-181-366,WesternAK
IYS2022-TINRO-3-26-Trawl-181-367,WesternAK
IYS2022-TINRO-3-26-Trawl-181-368,WesternAK
IYS2022-TINRO-3-26-Trawl-181-369,WesternAK
IYS2022-TINRO-3-26-Trawl-180-336,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-337,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-338,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-339,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-340,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-341,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-375,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-342,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-343,Japan/Korea/SouthernRussia
