IYS_Specimen_ID,IAgroup
IYS2022-TINRO-3-1-Trawl-3-2,Western_AK_BBay
IYS2022-TINRO-3-1-Trawl-3-3,Western_AK_BBay
IYS2022-TINRO-3-2-Trawl-12-5,BC_WA
IYS2022-TINRO-3-2-Trawl-12-6,BC_WA
IYS2022-TINRO-3-2-Trawl-12-7,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-2-Trawl-12-8,Western_AK_BBay
IYS2022-TINRO-3-2-Trawl-12-9,Western_AK_BBay
IYS2022-TINRO-3-2-Trawl-12-12,Western_AK_BBay
IYS2022-TINRO-3-3-Trawl-18-21,PWS_CopperR_SEAK
IYS2022-TINRO-3-4-Trawl-28-24,Western_AK_BBay
IYS2022-TINRO-3-4-Trawl-28-25,PWS_CopperR_SEAK
IYS2022-TINRO-3-4-Trawl-28-26,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-40,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-41,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-42,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-43,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-44,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-45,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-46,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-47,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-59-48,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-50,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-52,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-53,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-54,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-55,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-57,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-58,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-59,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-60,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-63,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-64,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-65,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-66,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-67,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-59-68,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-69,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-70,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-71,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-58-72,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-74,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-75,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-76,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-77,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-78,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-10-Trawl-59-79,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-80,Cook_Inlet
IYS2022-TINRO-3-10-Trawl-58-83,Western_AK_BBay
IYS2022-TINRO-3-10-Trawl-58-84,Western_AK_BBay
IYS2022-TINRO-3-12-Trawl-78-92,Western_AK_BBay
IYS2022-TINRO-3-12-Trawl-78-96,Western_AK_BBay
IYS2022-TINRO-3-12-Trawl-78-97,Western_AK_BBay
IYS2022-TINRO-3-12-Trawl-78-98,Western_AK_BBay
IYS2022-TINRO-3-12-Trawl-78-99,Western_AK_BBay
IYS2022-TINRO-3-12-Trawl-79-100,Cook_Inlet
IYS2022-TINRO-3-12-Trawl-79-101,PWS_CopperR_SEAK
IYS2022-TINRO-3-12-Trawl-79-103,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-134,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-136,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-137,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-138,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-160,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-161,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-13-Trawl-87-163,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-139,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-165,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-140,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-141,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-166,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-143,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-168,Cook_Inlet
IYS2022-TINRO-3-13-Trawl-87-169,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-13-Trawl-87-170,Cook_Inlet
IYS2022-TINRO-3-13-Trawl-88-144,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-145,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-146,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-147,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-172,PWS_CopperR_SEAK
IYS2022-TINRO-3-13-Trawl-87-173,Cook_Inlet
IYS2022-TINRO-3-13-Trawl-87-174,Cook_Inlet
