specimen_id,IAgroup
IYS2022-Shimada-4-21-Trawl-6-1,W AK
IYS2022-Shimada-4-21-Trawl-6-2,W AK
IYS2022-Shimada-4-21-Trawl-6-3,W AK
IYS2022-Shimada-4-21-Trawl-6-4,SE AK / Transboundary
IYS2022-Shimada-4-26-Trawl-9-1,NC BC
IYS2022-Shimada-4-26-Trawl-9-2,W GOA
IYS2022-Shimada-4-26-Trawl-9-3,Unresolved
IYS2022-Shimada-4-26-Trawl-9-4,W GOA
IYS2022-Shimada-4-26-Trawl-9-5,NC BC
IYS2022-Shimada-4-25-Trawl-5-1,W GOA
IYS2022-Franklin-5-49-135-Trawl-115-0001,SE AK / Transboundary
IYS2022-Franklin-5-48-135-Trawl-115-0002,WA/OR coasts
IYS2022-Franklin-5-47-138-Trawl-115-0003,W Coast Vanc Is
IYS2022-Franklin-5-47-138-Trawl-115-0004,Columbia River
IYS2022-Franklin-5-47-138-Trawl-115-0005,WA/OR coasts
IYS2022-Franklin-5-47-138-Trawl-115-0006,Unresolved
IYS2022-Franklin-5-49-138-Trawl-115-0007,NC BC
IYS2022-Franklin-5-49-138-Trawl-115-0008,W GOA
IYS2022-Franklin-5-49-141-Trawl-115-0009,SE AK / Transboundary
IYS2022-Franklin-5-49-141-Trawl-115-0010,SE AK / Transboundary
IYS2022-Franklin-5-47-141-Trawl-115-0011,Unresolved
IYS2022-Franklin-5-47-141-Trawl-115-0012,Unresolved
IYS2022-Franklin-5-47-141-Trawl-115-0013,SE AK / Transboundary
IYS2022-Franklin-5-47-144-Trawl-115-0014,Genotyping Failed
IYS2022-Franklin-5-48-144-Trawl-115-0015,SE AK / Transboundary
IYS2022-Franklin-5-48-144-Trawl-115-0016,SE AK / Transboundary
IYS2022-NW-2-16-Trawl-2-4,Genotyping Failed
IYS2022-NW-2-19-Trawl-2-14,Russia
IYS2022-NW-2-20-Trawl-3-56,Russia
IYS2022-TINRO-3-1-Trawl-213-485,Russia
IYS2022-TINRO-3-2-Trawl-11-13,Russia
IYS2022-TINRO-3-2-Trawl-11-14,Russia
IYS2022-TINRO-3-2-Trawl-11-15,Russia
IYS2022-TINRO-3-2-Trawl-11-16,Russia
IYS2022-TINRO-3-3-Trawl-19-23,Russia
IYS2022-TINRO-3-4-Trawl-29-27,Russia
IYS2022-TINRO-3-4-Trawl-29-28,W AK
IYS2022-TINRO-3-4-Trawl-29-29,Russia
IYS2022-TINRO-3-4-Trawl-29-30,W AK
IYS2022-TINRO-3-5-Trawl-34-31,W AK
IYS2022-TINRO-3-7-Trawl-43-32,Russia
IYS2022-TINRO-3-8-Trawl-47-34,W AK
IYS2022-TINRO-3-10-Trawl-61-86,Russia
IYS2022-TINRO-3-10-Trawl-61-87,Russia
IYS2022-TINRO-3-14-Trawl-99-201,Russia
IYS2022-TINRO-3-14-Trawl-99-202,Russia
IYS2022-TINRO-3-20-Trawl-145-258,Russia
IYS2022-TINRO-3-20-Trawl-145-259,Russia
IYS2022-TINRO-3-25-Trawl-176-314,Russia
IYS2022-TINRO-3-25-Trawl-176-315,Russia
IYS2022-TINRO-3-25-Trawl-176-316,W AK
IYS2022-TINRO-3-26-Trawl-188-437,Russia
IYS2022-TINRO-3-26-Trawl-187-436,Chum
IYS2022-TINRO-3-27-Trawl-193-441,Russia
IYS2022-TINRO-3-28-Trawl-203-450,Russia
IYS2022-TINRO-3-30-Trawl-215-487,Russia
IYS2022-TINRO-3-31-Trawl-222-497,Russia
IYS2022-TINRO-3-31-Trawl-222-498,Russia
IYS2022-TINRO-3-31-Trawl-222-499,Russia
IYS2022-TINRO-3-31-Trawl-222-500,Russia
IYS2022-TINRO-3-31-Trawl-222-501,Russia
